county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
San Bernardino,2020-09-17T00:00:00,172,51,223,3832,55,8,146
San Bernardino,2020-10-02T00:00:00,164,48,212,3839,41,5,165
San Bernardino,2020-06-27T00:00:00,353,79,432,4821,130,9,124
San Bernardino,2020-05-17T00:00:00,129,81,210,4821,52,15,184
San Bernardino,2020-09-27T00:00:00,160,50,210,3812,47,5,171
San Bernardino,2020-05-18T00:00:00,140,81,221,4821,52,14,197
San Bernardino,2020-07-26T00:00:00,609,104,713,4522,195,8,136
San Bernardino,2020-08-31T00:00:00,292,63,355,3843,98,7,168
San Bernardino,2020-05-19T00:00:00,134,76,210,4821,55,20,206
San Bernardino,2020-07-27T00:00:00,595,93,688,4516,179,14,210
San Bernardino,2020-05-20T00:00:00,127,89,216,4821,51,14,213
San Bernardino,2020-06-28T00:00:00,376,83,459,4821,135,12,124
San Bernardino,2020-08-18T00:00:00,440,89,529,3870,125,12,148
San Bernardino,2020-05-21T00:00:00,131,93,224,4821,47,16,225
San Bernardino,2020-06-07T00:00:00,164,57,221,4821,72,11,158
San Bernardino,2020-09-28T00:00:00,165,58,223,3831,48,8,173
San Bernardino,2020-05-22T00:00:00,125,101,226,4821,44,11,218
San Bernardino,2020-06-29T00:00:00,393,85,478,4821,138,10,140
San Bernardino,2020-09-10T00:00:00,205,54,259,3848,74,4,156
San Bernardino,2020-08-19T00:00:00,418,82,500,3862,123,7,146
San Bernardino,2020-05-23T00:00:00,134,100,234,4821,47,15,207
San Bernardino,2020-07-28T00:00:00,608,102,710,4688,180,12,190
San Bernardino,2020-07-29T00:00:00,562,88,650,4566,176,16,165
San Bernardino,2020-05-24T00:00:00,139,103,242,4821,48,22,196
San Bernardino,2020-06-14T00:00:00,206,89,295,4821,77,18,140
San Bernardino,2020-08-20T00:00:00,386,75,461,3878,116,11,137
San Bernardino,2020-05-25T00:00:00,138,116,254,4821,48,23,245
San Bernardino,2020-06-15T00:00:00,221,74,295,4821,77,18,149
San Bernardino,2020-06-01T00:00:00,148,69,217,4821,62,17,186
San Bernardino,2020-09-18T00:00:00,169,47,216,3832,50,10,156
San Bernardino,2020-05-26T00:00:00,154,125,279,4821,57,19,237
San Bernardino,2020-05-27T00:00:00,159,101,260,4821,54,19,222
San Bernardino,2020-07-30T00:00:00,596,81,677,4530,187,10,111
San Bernardino,2020-06-30T00:00:00,406,85,491,4821,142,21,120
San Bernardino,2020-09-29T00:00:00,170,55,225,3845,45,9,160
San Bernardino,2020-05-28T00:00:00,156,87,243,4821,53,17,186
San Bernardino,2020-07-31T00:00:00,568,82,650,4442,184,8,117
San Bernardino,2020-09-11T00:00:00,201,49,250,3846,67,10,149
San Bernardino,2020-05-29T00:00:00,134,95,229,4821,50,13,164
San Bernardino,2020-08-21T00:00:00,365,81,446,3908,117,10,157
San Bernardino,2020-08-01T00:00:00,567,85,652,3802,186,11,164
